faculty_code,full_name,department
7496156,"Camacho, Aileen",Senior High School - Mathematics Department
8806583,"Capistrano, Karlo",Senior High School - PE and Health Department
6147290,"De Leon, Rogelio",Grade School - Social Studies Department
9110369,"Tablizo, Roxanne",Guidance and Counseling Department
6594118,"Galeon, Roxanne",Junior High School - MAPEH Department
7510708,"De Guzman, Rogelio",Junior High School - Science Department
3666907,"Urbano, Alfredo",Junior High School - Filipino Department
5192008,"Yap, Luz",Grade School - Filipino Department
5301794,"Garcia, Danilo",Junior High School - Filipino Department
1952050,"Madelo, Rogelio",Senior High School - Mathematics Department
9155971,"Famorcan, Wilhelmina",Junior High School - Science Department
2723355,"Tan, Ulysses",Senior High School - Mathematics Department
8450416,"Falloran, Ronaldo",Library Department
1583071,"Acosta, Cynthia",Administrative Department
5825092,"Sabalza, Carlos",Grade School - Filipino Department
2710991,"Dalisay, Glenda",Senior High School - PE and Health Department
1601426,"Cabrera, Estelita",Junior High School - MAPEH Department
3635073,"Rivera, Katrina",Grade School - Values Education Department
5572041,"Capistrano, Hilario",Senior High School - GAS Department
4441635,"Urbano, Glenda",Grade School - English Department
2804765,"Torres, Benigno",Senior High School - GAS Department
6765321,"Adriano, Vince",Junior High School - Values Education Department
5961210,"Famorcan, Joaquin",Senior High School - HUMSS Department
1995487,"Andres, Nico",Senior High School - Mathematics Department
4168513,"Madelo, Aldrin",Grade School - Science Department
8712002,"Galang, Francis",Grade School - Filipino Department
6162226,"Sabornido, Joana",Grade School - Mathematics Department
9934657,"De Guzman, Antonio",Senior High School - GAS Department
9443191,"Maceda, Maria",Senior High School - Science Department
8161653,"Encarguez, Jessa",Junior High School - MAPEH Department
2186872,"Amador, Rolando",Senior High School - HUMSS Department
3367515,"Aquino, Felicitas",Senior High School - Filipino Department
9992986,"Yap, Aileen",Junior High School - MAPEH Department
9640235,"Castillo, Xyza",Junior High School - Science Department
5575914,"Villalobos, Nico",Grade School - Mathematics Department
5499290,"Aceron, Ryan",Grade School - Science Department
3975841,"Caminero, Benigno",Senior High School - Filipino Department
8898511,"Espiritu, Rosa",Grade School - Mathematics Department
6923210,"Villaneva, Carl",Grade School - Mathematics Department
7746689,"Camba, Gian",Junior High School - Mathematics Department
4472933,"Adlawan, Lea",Administrative Department
5095380,"Cabrera, Antonio",Junior High School - Science Department
4855433,"Maceda, April",Grade School - Social Studies Department
4341765,"Lacson, Janine",Grade School - English Department
7374343,"Rivera, Vivencio",Senior High School - PE and Health Department
6555876,"Abad, Carmen",Senior High School - Mathematics Department
6990106,"Evangelista, Cristine",Grade School - Filipino Department
4986883,"Elago, Ligaya",Senior High School - ABM Department
3669074,"Caminero, John",Junior High School - Mathematics Department
3458686,"Tabayag, Benigno",Junior High School - Science Department
4303133,"Dela Cruz, Christian",Junior High School - Araling Panlipunan Department
5910480,"Adriano, Erica",Senior High School - HUMSS Department
4744036,"Jalandoni, Vince",Grade School - Values Education Department
3763147,"Reyes, Luz",Senior High School - Filipino Department
5914551,"Yabut, Zenaida",Grade School - MAPEH Department
8410950,"Lagunsad, Honesto",Junior High School - Araling Panlipunan Department
5378548,"Villanueva, Estelita",Grade School - English Department
2338340,"Dantes, Christine",Grade School - Filipino Department
4234995,"Nepomuceno, Ian",Senior High School - GAS Department
8517440,"Pacion, Fausto",Guidance and Counseling Department
9995611,"Cabrera, Benigno",Junior High School - Araling Panlipunan Department
6213156,"Villamor, Maribel",Senior High School - English Department
8773081,"Sabado, Yolanda",Grade School - Social Studies Department
3039699,"Garcia, Daisy",Senior High School - ABM Department
7803677,"Ragasa, Hilario",Senior High School - Mathematics Department
9164744,"Adriano, Jessa",Junior High School - Araling Panlipunan Department
9789849,"Lacson, Ulysses",Junior High School - Science Department
5614198,"Aceron, Ulysses",Senior High School - Filipino Department
8518168,"Amador, Clarita",Senior High School - Science Department
8124185,"Galang, Mark",Library Department
7226980,"Macuto, Ligaya",Junior High School - Araling Panlipunan Department
4724255,"Andres, Mark",Junior High School - Filipino Department
4848364,"Lalata, Alyssa",Junior High School - Mathematics Department
1120581,"Nazareno, Paolo",Senior High School - PE and Health Department
6862017,"Andres, Victorino",Senior High School - PE and Health Department
4594486,"Alvarado, Rolando",Junior High School - Science Department
2543972,"Zapanta, Soledad",Grade School - Mathematics Department
1473063,"Sabalza, Teodoro",Senior High School - Science Department
4777680,"Rivera, Narciso",Grade School - Mathematics Department
8811096,"De Leon, Christine",Grade School - Mathematics Department
2501008,"Garcia, Patricia",Senior High School - Mathematics Department
8577733,"Natad, Joaquin",Junior High School - Mathematics Department
8473758,"Quirino, Faith",Senior High School - ABM Department
1075541,"Edralin, Erica",Junior High School - Values Education Department
5117074,"Abad, Lorenzo",Senior High School - PE and Health Department
4420577,"De Leon, Nathan",Administrative Department
8148128,"Zapanta, Lance",Junior High School - Mathematics Department
5805139,"Castillo, Rogelio",Senior High School - HUMSS Department
3014801,"Yabes, Lance",Administrative Department
5263135,"Castillo, Fausto",Library Department
9307902,"Jalandoni, Paolo",Guidance and Counseling Department
3748289,"Natad, Narciso",Grade School - Values Education Department
5801396,"Villafuerte, Christine",Grade School - English Department
3218576,"Dalusong, Marites",Junior High School - MAPEH Department
7442404,"Capistrano, Jerome",Guidance and Counseling Department
1051694,"Ortega, Domingo",Junior High School - Values Education Department
2600360,"Jalandoni, Xyza",Junior High School - Araling Panlipunan Department
8303081,"Yabes, Milagros",Junior High School - TLE Department
1447396,"Agno, Jose",Junior High School - Mathematics Department
6434180,"Adlawan, Katrina",Junior High School - TLE Department
3241395,"Sabater, Domingo",Junior High School - Science Department
6382222,"Zabanal, Joaquin",Junior High School - Mathematics Department
4151415,"Falloran, Rosa",Junior High School - MAPEH Department
2785595,"Macuto, Soledad",Junior High School - Science Department
5705113,"Pacleb, Arlene",Grade School - Social Studies Department
4321911,"Natividad, Emilio",Grade School - Filipino Department
9215987,"Tadena, Marites",Senior High School - English Department
8906609,"Villamor, Eduardo",Junior High School - MAPEH Department
7373322,"Umali, Jayson",Grade School - Filipino Department
8863099,"Espinosa, Generosa",Junior High School - MAPEH Department
2932093,"Macapagal, Hannah",Junior High School - TLE Department
9125730,"Fabian, Joaquin",Junior High School - TLE Department
5734364,"Eguia, Aileen",Senior High School - Mathematics Department
5075788,"Maceda, Joshua",Junior High School - MAPEH Department
8226359,"Galvez, Pacita",Grade School - Mathematics Department
7326827,"Narvasa, Maribel",Grade School - English Department
8715970,"Alejo, Ramon",Senior High School - HUMSS Department
6004508,"Alcantara, Camille",Grade School - Social Studies Department
7394024,"Pabilona, Nico",Library Department
8109937,"Mendoza, Francis",Grade School - MAPEH Department
1452191,"Aceron, Narciso",Grade School - MAPEH Department
4424742,"Villanueva, Perpetua",Grade School - Filipino Department
8281330,"Villamor, Maria",Administrative Department
5500100,"Estacio, Rogelio",Junior High School - Mathematics Department
2289099,"Gammad, John",Senior High School - PE and Health Department
1997004,"Aguilar, Rosalie",Grade School - English Department
1196129,"Elago, Jose",Grade School - MAPEH Department
5151991,"Natividad, Aldrin",Senior High School - ABM Department
3282573,"Lago, Xyza",Grade School - Mathematics Department
9548730,"Tacorda, Gian",Guidance and Counseling Department
7163163,"Indan, Lance",Grade School - MAPEH Department
8927023,"Estipona, Rolando",Senior High School - HUMSS Department
8594832,"Famorcan, Joana",Junior High School - MAPEH Department
1666621,"Macenas, Alfredo",Junior High School - Mathematics Department
7669893,"Acosta, Vince",Junior High School - Science Department
1575110,"Urbano, Wilhelmina",Junior High School - Filipino Department
9211595,"Caballero, Maribel",Senior High School - Filipino Department
3461251,"Dela Torre, Camille",Grade School - English Department
4638923,"Racoma, Jayson",Grade School - Mathematics Department
7328332,"Cabrera, Angelo",Administrative Department
4881202,"Gonzalez, Christine",Grade School - Mathematics Department
3805590,"Yambao, Consolacion",Junior High School - Araling Panlipunan Department
9041847,"Tabayag, Kristine",Senior High School - Mathematics Department
1884834,"Sabornido, Elena",Senior High School - Filipino Department
9683833,"Ganancial, Rosa",Junior High School - English Department
2505722,"Gammad, Jericho",Senior High School - PE and Health Department
3322334,"Cabrera, Vivencio",Grade School - MAPEH Department
2915308,"Zapanta, Antonio",Senior High School - PE and Health Department
5443856,"Flores, Perpetua",Senior High School - Mathematics Department
4588192,"Sabile, Remedios",Junior High School - Values Education Department
9651073,"Ortega, Ian",Junior High School - MAPEH Department
6754632,"Unas, Elena",Senior High School - Mathematics Department
7273839,"Fajardo, Mylene",Junior High School - Mathematics Department
7090189,"Pacleb, Rosalie",Guidance and Counseling Department
3636617,"Natad, Perpetua",Junior High School - TLE Department
7146082,"Amador, Lorena",Senior High School - Science Department
4285236,"Adriano, Consolacion",Grade School - Science Department
7525205,"Ortega, Elena",Grade School - Values Education Department
4744851,"Ortega, Benigno",Grade School - English Department
5116319,"Garcia, Rosalie",Junior High School - English Department
8184442,"Valencia, Camille",Grade School - Values Education Department
1461968,"Tadeo, Joana",Junior High School - English Department
6846422,"Dantes, Natividad",Grade School - English Department
1645493,"Abad, Marvin",Junior High School - MAPEH Department
6448301,"Ebora, Abigail",Senior High School - PE and Health Department
8402877,"Castillo, Nicole",Administrative Department
7405105,"Salazar, Resurreccion",Grade School - English Department
4110453,"Farinas, Rodel",Grade School - Mathematics Department
8946836,"Alcantara, Fausto",Junior High School - Science Department
9106489,"Villalobos, Melissa",Grade School - Science Department
6199957,"Quirino, Danilo",Grade School - Social Studies Department
2289850,"Quimpo, Alfredo",Senior High School - English Department
5722828,"Pascual, Imelda",Junior High School - Mathematics Department
8594906,"Bustamante, Ulysses",Junior High School - Filipino Department
2238669,"Tadeo, Ligaya",Senior High School - PE and Health Department
2862644,"Bautista, Maricel",Administrative Department
3517392,"Falloran, Angelo",Grade School - Mathematics Department
1737586,"Yabes, Florencia",Junior High School - Values Education Department
2511387,"Narvasa, Generosa",Administrative Department
4188243,"Camba, Ana",Senior High School - ABM Department
5504454,"Dalisay, Maricel",Junior High School - Values Education Department
2569199,"Yabes, Rosalie",Senior High School - ABM Department
8279855,"Andres, Marvin",Senior High School - ABM Department
1128751,"Yabes, Ana",Grade School - English Department
7112337,"Agno, Miguel",Senior High School - HUMSS Department
4947131,"Cabreza, Ryan",Grade School - English Department
1096286,"Daproza, Erica",Junior High School - Araling Panlipunan Department
4136683,"Santa Maria, Karlo",Junior High School - Filipino Department
2007287,"Del Rosario, Gilbert",Junior High School - Values Education Department
8339906,"Pacleb, Narciso",Grade School - Science Department
6227334,"Bustamante, Karlo",Grade School - Filipino Department
2565373,"Landayan, Arnel",Grade School - MAPEH Department
5067522,"Alcantara, Victorino",Junior High School - Filipino Department
9233178,"Madelo, Lorena",Junior High School - TLE Department
5968842,"Pabalan, Ramon",Senior High School - PE and Health Department
4736122,"Camacho, Roxanne",Grade School - Science Department
4218407,"Lopez, Corazon",Senior High School - English Department
8133618,"Galeon, Gian",Junior High School - Mathematics Department
6937965,"Yabes, Pacita",Grade School - Mathematics Department
8598428,"Yambot, Lovely",Junior High School - Mathematics Department
9770459,"Sabalza, Rodel",Junior High School - MAPEH Department
3424366,"De Leon, Rosalie",Senior High School - PE and Health Department
1127604,"Santa Maria, Rodel",Senior High School - Filipino Department
1002897,"Zabanal, Ramon",Senior High School - PE and Health Department
9249040,"Ibanez, Rodel",Senior High School - Mathematics Department
4227090,"Villalon, Zenaida",Senior High School - HUMSS Department
8029371,"Fabian, Juan",Junior High School - Values Education Department
4792366,"Tablizo, Victorino",Grade School - Values Education Department
9199422,"Ebora, Ramon",Grade School - Social Studies Department
7863884,"Adriano, Rodel",Junior High School - MAPEH Department
2039945,"Andres, Ulysses",Junior High School - English Department
7272178,"Tadena, Clarissa",Senior High School - ABM Department
8851054,"Farinas, Melissa",Guidance and Counseling Department
9036482,"Macasaet, Isidro",Grade School - Social Studies Department
7282312,"Villafuerte, John",Grade School - Social Studies Department
8044124,"Andres, Clarissa",Junior High School - TLE Department
9152877,"Garcia, Ramon",Grade School - Science Department
5807184,"Salazar, Joana",Junior High School - Values Education Department
3903900,"Pacleb, Lourdes",Junior High School - MAPEH Department
3409260,"Umali, Hilario",Junior High School - TLE Department
7012840,"Sabater, Domingo",Senior High School - HUMSS Department
4205424,"Villalon, Lea",Senior High School - HUMSS Department
4912794,"Zamora, Arlene",Grade School - Filipino Department
3688010,"Pacleb, Ian",Junior High School - Science Department
3313211,"Candelario, Alfredo",Grade School - MAPEH Department
4150385,"Tadeo, Rosalie",Senior High School - Filipino Department
4564582,"Fabian, Aldrin",Senior High School - HUMSS Department
4791017,"Lago, Marites",Senior High School - Filipino Department
4326771,"Lalata, Juanita",Administrative Department
6798244,"Adaza, Andrei",Senior High School - PE and Health Department
7258055,"Sabile, Victorino",Junior High School - MAPEH Department
4423250,"Alcantara, Fausto",Senior High School - HUMSS Department
8663576,"Manalo, Ulysses",Senior High School - PE and Health Department
5172058,"Ungos, Vivencio",Junior High School - Araling Panlipunan Department
5120926,"Eguia, Mylene",Senior High School - HUMSS Department
2710644,"Galvez, Hilario",Junior High School - Mathematics Department
6706280,"Zamora, Mylene",Grade School - Social Studies Department
3718002,"Dalisay, Glenda",Guidance and Counseling Department
2378804,"Edang, Rogelio",Grade School - Science Department
7621053,"Macasaet, April",Junior High School - Values Education Department
